date,target_open,target_close,benchmark_close,buy_amount,buy_shares,sell_value,realized_pnl_before_tax,realized_pnl_after_tax,tax,interest,gross_exposure,cash,equity,unrealized_pnl,margin_ratio,maintenance_ratio,selected_params_id,events
2014-01-06,5770.0,5625.0,15908.8798828125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-07,5560.0,5555.0,15814.3701171875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-08,5635.0,5755.0,16121.4501953125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-09,5670.0,5590.0,15880.330078125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-10,5570.0,5620.0,15912.0595703125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-14,5350.0,5265.0,15422.400390625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-15,5415.0,5510.0,15808.73046875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-16,5540.0,5490.0,15747.2001953125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-17,5440.0,5475.0,15734.4599609375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-20,5465.0,5415.0,15641.6796875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-21,5460.0,5520.0,15795.9599609375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-22,5475.0,5550.0,15820.9599609375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-23,5600.0,5455.0,15695.8896484375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-24,5255.0,5240.0,15391.5595703125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-27,4970.0,4990.0,15005.73046875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
2014-01-28,4995.0,4955.0,14980.16015625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,inf,inf,-1,
